condition,family,n,parse_success,compile_success,execution_success,hidden_pass
BASE_NO_DOCS,overall,24,0,0,0,0
BASE_NO_DOCS,arrays,3,0,0,0,0
BASE_NO_DOCS,composition_algorithms,3,0,0,0,0
BASE_NO_DOCS,conditionals,3,0,0,0,0
BASE_NO_DOCS,expressions_variables,3,0,0,0,0
BASE_NO_DOCS,functions,3,0,0,0,0
BASE_NO_DOCS,input_output,3,0,0,0,0
BASE_NO_DOCS,loops,3,0,0,0,0
BASE_NO_DOCS,strings,3,0,0,0,0
BASE_WITH_DOCS,overall,24,0,0,0,0
BASE_WITH_DOCS,arrays,3,0,0,0,0
BASE_WITH_DOCS,composition_algorithms,3,0,0,0,0
BASE_WITH_DOCS,conditionals,3,0,0,0,0
BASE_WITH_DOCS,expressions_variables,3,0,0,0,0
BASE_WITH_DOCS,functions,3,0,0,0,0
BASE_WITH_DOCS,input_output,3,0,0,0,0
BASE_WITH_DOCS,loops,3,0,0,0,0
BASE_WITH_DOCS,strings,3,0,0,0,0
